doc_code,nhom,nguon_url,ngay_tai,so_dieu,ghi_chu
ND-103-2024,dat-dai,"file .docx nguoi dung cung cap (TVPL 550020), convert python-docx",2026-06-12,60,54 Dieu + bieu mau phu luc; thay ban Cong bao gop
QD-29-2021,dau-tu,"file .docx nguoi dung cung cap (TVPL 490496), convert python-docx",2026-06-12,9,"BAN CHUAN — thay ban AI chep tay (co sai lech, da loai)"
BLLD-2019,lao-dong,"file .docx nguoi dung cung cap (TVPL 333670), convert python-docx",2026-06-12,220,DUNG 220 Dieu — thay ban PDF Cong bao
ND-82-2018,kcn,"file .docx nguoi dung cung cap (TVPL 332027), convert python-docx",2026-06-12,68,"DUNG 68 Dieu — thay ban PDF Cong bao; van ban da het hieu luc, dung cho HD ky truoc 15/07/2022"
LDT-2025,dau-tu,"file .docx nguoi dung cung cap (TVPL 681550), convert python-docx",2026-06-12,52,Luat Dau tu 143/2025/QH15 — THAY THE LDT-2020 tu 01/03/2026; danh muc nganh nghe co dieu kien hieu luc 01/07/2026
LTTNDN-2025,dau-tu,"file .docx nguoi dung cung cap (TVPL 580594), convert python-docx",2026-06-12,20,"Luat Thue TNDN 67/2025/QH15 — hieu luc 01/10/2025, ap dung tu ky tinh thue 2025; nen cua uu dai thue"
L146-2025,moi-truong,"file .docx nguoi dung cung cap (TVPL 675259), convert python-docx",2026-06-12,20,Luat 146/2025/QH15 sua 15 luat NN-MT (trong do co BVMT 2020) — hieu luc 01/01/2026
L87-2025,dan-su,"file .docx nguoi dung cung cap (TVPL 662673), convert python-docx",2026-06-12,3,Luat 87/2025/QH15 sua Luat BH VBQPPL 64/2025 — ban hanh 25/06/2025
LPCCC-2024,moi-truong,docx TVPL 621347,2026-06-12,55,"Luat PCCC-CNCH 55/2024/QH15, hieu luc 01/07/2025 — DUNG 55 Dieu; thay Luat PCCC 2001"
ND-105-2025,moi-truong,docx TVPL 657317,2026-06-12,49,"huong dan Luat PCCC 55/2024, hieu luc 01/07/2025"
ND-08-2022,moi-truong,docx TVPL 479457,2026-06-12,172,"chi tiet Luat BVMT — giay phep MT, dau noi nuoc thai; sua boi ND 05/2025 + ND 48/2026"
ND-08-2022-PL,moi-truong,"file .doc phu luc nguoi dung cung cap (attachfile001.doc), boc doc_extract",2026-06-12,0,BO PHU LUC ND 08/2022 — danh muc phan loai du an moi truong
ND-05-2025,moi-truong,docx TVPL 583551,2026-06-12,6,"sua doi ND 08/2022, hieu luc 06/01/2025"
ND-48-2026,moi-truong,docx TVPL 692989,2026-06-12,39,"sua doi ND 08/2022 (lan 2), ban hanh 29/01/2026"
LKDBDS-2023,dat-dai,docx TVPL 530116,2026-06-12,83,"Luat KD BDS 29/2023/QH15, hieu luc 01/08/2024 — DUNG 83 Dieu; cho thue lai QSDD co ha tang"
ND-151-2025,dat-dai,docx TVPL 660608,2026-06-12,57,"phan quyen dat dai chinh quyen 2 cap, 01/07/2025-28/02/2027; sua boi ND 226/2025 (chua co)"
LTTTM-2010,dan-su,docx TVPL 108083,2026-06-12,81,Luat Trong tai TM 54/2010 — sua nhe boi Luat 81/2025 (toa an)
NQ-107-2023,dau-tu,docx TVPL 578567,2026-06-12,8,"thue toi thieu toan cau QDMTT 15%, ap dung tu FY2024"
ND-236-2025,dau-tu,docx TVPL 631519,2026-06-12,25,"huong dan NQ 107/2023, hieu luc 15/10/2025"
QD-1142-2025,da-nang,docx TVPL 661026,2026-06-12,6,"QD 1142/QD-TTg 13/06/2025 thanh lap Khu TMTD Da Nang ~1881ha, 7 vi tri"
ND-226-2025,dat-dai,docx TVPL 664033,2026-06-12,16,"sua cac ND thi hanh Luat Dat dai (gom ND 151/2025), hieu luc 15/08/2025"
